node|8774504|||crossing|||||41.2352235|1.7495516
node|8774505||||||||41.2367953|1.7504351
node|8774506|||crossing|||||41.2364575|1.7522746
node|8774497||||||||41.2350103|1.7488953
node|8774498||||||||41.2349117|1.7487189
node|8774501||||||||41.2348368|1.7487777
node|8774502||||||||41.2349219|1.7489586
node|8774493||||||||41.2350808|1.7493768
node|8774494||||||||41.2351607|1.7493574
node|8774495||||||||41.2352113|1.7493029
node|8774496||||||||41.2352394|1.7492275
node|8774487|aeeeeeeeeeee|||||||41.235145|1.7489965
node|8774503|||crossing|||||41.2358485|1.7509185
node|8774508|||crossing|||||41.2372555|1.7540276
node|8774509|||give_way|||||41.2373333|1.7542141
node|8774488|bccccccccccccccccc|||||||41.2350878|1.7489852
node|8774489|caaaaaaaaaaaaaaaaaa|||||||41.2350225|1.7490104
node|8774490|dadsfasdfasdfads|||||||41.2349702|1.7490768
node|8774491|Chonunda|||||||41.2349503|1.7492193
node|8774492|HsuReiu|||||||41.2349943|1.7493247
